T,X,Y,Z,Rx,Ry,Rz
3169,0,232,-50,2071,54,-767
3171,0,-1271,-147,1722,197,-174
3173,0,257,-81,2235,163,-392
3175,0,58,-27,2132,174,-394
3177,0,103,-24,2191,77,-679
3179,0,232,-50,2071,54,-767
3181,0,-1271,-147,1722,197,-174
3183,0,257,-81,2235,163,-392
3185,0,58,-27,2132,174,-394
3187,0,103,-24,2191,77,-679
3189,0,232,-50,2071,54,-767
3191,0,-1271,-147,1722,197,-174
3193,0,257,-81,2235,163,-392
3195,0,58,-27,2132,174,-394
3197,0,103,-24,2191,77,-679
3199,0,232,-50,2071,54,-767
3201,0,-1271,-147,1722,197,-174
3203,0,257,-81,2235,163,-392
3205,0,58,-27,2132,174,-394
3207,0,103,-24,2191,77,-679
3209,0,232,-50,2071,54,-767
3211,0,-1271,-147,1722,197,-174
3213,0,257,-81,2235,163,-392
3215,0,58,-27,2132,174,-394
32
3219,0,232,-50,2071,54,-767
3221,0,-1271,-147,1722,197,-174
3223,0,257,-81,2235,163,-392
3225,0,58,-27,2132,174,-394
3227,0,103,-24,2191,77,-679
3229,0,232,-50,2071,54,-767
3231,0,-1271,-147,1722,197,-174
3233,0,257,-81,2235,163,-392
3235,0,58,-27,2132,174,-394
3237,0,103,-24,2191,77,-679
3239,0,232,-50,2071,54,-767
3241,0,-1271,-147,1722,197,-174
3243,0,257,-81,2235,163,-392
3245,0,58,-27,2132,174,-394
3247,0,103,-24,2191,77,-679
3249,0,232,-50,2071,54,-767
3251,0,-1271,-147,1722,197,-174
3253,0,257,-81,2235,163,-392
3255,0,58,-27,2132,174,-394
3257,0,103,-24,2191,77,-679
3259,0,232,-50,2071,54,-767
3261,0,-1271,-147,1722,197,-174
3263,0,257,-81,2235,163,-392
3265,0,58,-27,2132,174,-394
3267,0,103,-24,2191,77,-679
3269,0,232,-50,2071,54,-767
3271,0,-1271,-147,1722,197,-174
3273,0,257,-81,2235,163,-392
3275,0,58,-27,2132,174,-394
3277,0,103,-24,2191,77,-679
3279,0,232,-50,2071,54,-767
3281,0,-1271,-147,1722,197,-174
3283,0,257,-81,2235,163,-392
3285,0,58,-27,2132,174,-394
32
3289,0,232,-50,2071,54,-767
3291,0,-1271,-147,1722,197,-174
3293,0,257,-81,2235,163,-392
3295,0,58,-27,2132,174,-394
3297,0,103,-24,2191,77,-679
3299,0,232,-50,2071,54,-767
3301,0,-1271,-147,1722,197,-174
3303,0,257,-81,2235,163,-392
3305,0,58,-27,2132,174,-394
3307,0,103,-24,2191,77,-679
3309,0,232,-50,2071,54,-767
3311,0,-1271,-147,1722,197,-174
3313,0,257,-81,2235,163,-392
3315,0,58,-27,2132,174,-394
3317,0,103,-24,2191,77,-679
3319,0,232,-50,2071,54,-767
3321,0,-1271,-147,1722,197,-174
3323,0,257,-81,2235,163,-392
3325,0,58,-27,2132,174,-394
3327,0,103,-24,2191,77,-679
3329,0,232,-50,2071,54,-767
3331,0,-1271,-147,1722,197,-174
3333,0,257,-81,2235,163,-392
3335,0,58,-27,2132,174,-394
3337,0,103,-24,2191,77,-679
3339,0,232,-50,2071,54,-767
3341,0,-1271,-147,1722,197,-174
3343,0,257,-81,2235,163,-392
3345,0,58,-27,2132,174,-394
3347,0,103,-24,2191,77,-679
3349,0,232,-50,2071,54,-767
3351,0,-1271,-147,1722,197,-174
3353,0,257,-81,2235,163,-392
3355,0,58,-27,2132,174,-394
33
3359,0,232,-50,2071,54,-767
3361,0,-1271,-147,1722,197,-174
3363,0,257,-81,2235,163,-392
3365,0,58,-27,2132,174,-394
3367,0,103,-24,2191,77,-679
3369,0,232,-50,2071,54,-767
3371,0,-1271,-147,1722,197,-174
3373,0,257,-81,2235,163,-392
3375,0,58,-27,2132,174,-394
3377,0,103,-24,2191,77,-679
3379,0,232,-50,2071,54,-767
3381,0,-1271,-147,1722,197,-174
3383,0,257,-81,2235,163,-392
3385,0,58,-27,2132,174,-394
3387,0,103,-24,2191,77,-679
3389,0,232,-50,2071,54,-767
3391,0,-1271,-147,1722,197,-174
3393,0,257,-81,2235,163,-392
3395,0,58,-27,2132,174,-394
3397,0,103,-24,2191,77,-679
3399,0,232,-50,2071,54,-767
3401,0,-1271,-147,1722,197,-174
3403,0,257,-81,2235,163,-392
3405,0,58,-27,2132,174,-394
3407,0,103,-24,2191,77,-679
3409,0,232,-50,2071,54,-767
3411,0,-1271,-147,1722,197,-174
3413,0,257,-81,2235,163,-392
3415,0,58,-27,2132,174,-394
3417,0,103,-24,2191,77,-679
3419,0,232,-50,2071,54,-767
3421,0,-1271,-147,1722,197,-174
3423,0,257,-81,2235,163,-392
3425,0,58,-27,2132,174,-394
34
3429,0,232,-50,2071,54,-767
3431,0,-1271,-147,1722,197,-174
3433,0,257,-81,2235,163,-392
3435,0,58,-27,2132,174,-394
3437,0,103,-24,2191,77,-679
3439,0,232,-50,2071,54,-767
3441,0,-1271,-147,1722,197,-174
3443,0,257,-81,2235,163,-392
3445,0,58,-27,2132,174,-394
3447,0,103,-24,2191,77,-679
3449,0,232,-50,2071,54,-767
3451,0,-1271,-147,1722,197,-174
3453,0,257,-81,2235,163,-392
3455,0,58,-27,2132,174,-394
3457,0,103,-24,2191,77,-679
3459,0,232,-50,2071,54,-767
3461,0,-1271,-147,1722,197,-174
3463,0,257,-81,2235,163,-392
3465,0,58,-27,2132,174,-394
3467,0,103,-24,2191,77,-679
3469,0,232,-50,2071,54,-767
3471,0,-1271,-147,1722,197,-174
3473,0,257,-81,2235,163,-392
3475,0,58,-27,2132,174,-394
3477,0,103,-24,2191,77,-679
3479,0,232,-50,2071,54,-767
3481,0,-1271,-147,1722,197,-174
3483,0,257,-81,2235,163,-392
3485,0,58,-27,2132,174,-394
3487,0,103,-24,2191,77,-679
3489,0,232,-50,2071,54,-767
3491,0,-1271,-147,1722,197,-174
3493,0,257,-81,2235,163,-392
3495,0,58,-27,2132,174,-394
34
3499,0,232,-50,2071,54,-767
3501,0,-1271,-147,1722,197,-174
3503,0,257,-81,2235,163,-392
3505,0,58,-27,2132,174,-394
3507,0,103,-24,2191,77,-679
3509,0,232,-50,2071,54,-767
3511,0,-1271,-147,1722,197,-174
3513,0,257,-81,2235,163,-392
3515,0,58,-27,2132,174,-394
3517,0,103,-24,2191,77,-679
3519,0,232,-50,2071,54,-767
3521,0,-1271,-147,1722,197,-174
3523,0,257,-81,2235,163,-392
3525,0,58,-27,2132,174,-394
3527,0,103,-24,2191,77,-679
3529,0,232,-50,2071,54,-767
3531,0,-1271,-147,1722,197,-174
3533,0,257,-81,2235,163,-392
3535,0,58,-27,2132,174,-394
3537,0,103,-24,2191,77,-679
3539,0,232,-50,2071,54,-767
3541,0,-1271,-147,1722,197,-174
3543,0,257,-81,2235,163,-392
3545,0,58,-27,2132,174,-394
3547,0,103,-24,2191,77,-679
3549,0,232,-50,2071,54,-767
3551,0,-1271,-147,1722,197,-174
3553,0,257,-81,2235,163,-392
3555,0,58,-27,2132,174,-394
3557,0,103,-24,2191,77,-679
3559,0,232,-50,2071,54,-767
3561,0,-1271,-147,1722,197,-174
3563,0,257,-81,2235,163,-392
3565,0,58,-27,2132,174,-394
35
3569,0,232,-50,2071,54,-767
3571,0,-1271,-147,1722,197,-174
3573,0,257,-81,2235,163,-392
3575,0,58,-27,2132,174,-394
3577,0,103,-24,2191,77,-679
3579,0,232,-50,2071,54,-767
3581,0,-1271,-147,1722,197,-174
3583,0,257,-81,2235,163,-392
3585,0,58,-27,2132,174,-394
3587,0,103,-24,2191,77,-679
3589,0,232,-50,2071,54,-767
3591,0,-1271,-147,1722,197,-174
3593,0,257,-81,2235,163,-392
3595,0,58,-27,2132,174,-394
3597,0,103,-24,2191,77,-679
3599,0,232,-50,2071,54,-767
3601,0,-1271,-147,1722,197,-174
3603,0,257,-81,2235,163,-392
3605,0,58,-27,2132,174,-394
3607,0,103,-24,2191,77,-679
3609,0,232,-50,2071,54,-767
3611,0,-1271,-147,1722,197,-174
3613,0,257,-81,2235,163,-392
3615,0,58,-27,2132,174,-394
3617,0,103,-24,2191,77,-679
3619,0,232,-50,2071,54,-767
3621,0,-1271,-147,1722,197,-174
3623,0,257,-81,2235,163,-392
3625,0,58,-27,2132,174,-394
3627,0,103,-24,2191,77,-679
3629,0,232,-50,2071,54,-767
3631,0,-1271,-147,1722,197,-174
3633,0,257,-81,2235,163,-392
3635,0,58,-27,2132,174,-394
36
3639,0,232,-50,2071,54,-767
3641,0,-1271,-147,1722,197,-174
3643,0,257,-81,2235,163,-392
3645,0,58,-27,2132,174,-394
3647,0,103,-24,2191,77,-679
3649,0,232,-50,2071,54,-767
3651,0,-1271,-147,1722,197,-174
3653,0,257,-81,2235,163,-392
3655,0,58,-27,2132,174,-394
3657,0,103,-24,2191,77,-679
3659,0,232,-50,2071,54,-767
3661,0,-1271,-147,1722,197,-174
3663,0,257,-81,2235,163,-392
3665,0,58,-27,2132,174,-394
3667,0,103,-24,2191,77,-679
3669,0,232,-50,2071,54,-767
3671,0,-1271,-147,1722,197,-174
3673,0,257,-81,2235,163,-392
3675,0,58,-27,2132,174,-394
3677,0,103,-24,2191,77,-679
3679,0,232,-50,2071,54,-767
3681,0,-1271,-147,1722,197,-174
3683,0,257,-81,2235,163,-392
3685,0,58,-27,2132,174,-394
3687,0,103,-24,2191,77,-679
3689,0,232,-50,2071,54,-767
3691,0,-1271,-147,1722,197,-174
3693,0,257,-81,2235,163,-392
3695,0,58,-27,2132,174,-394
3697,0,103,-24,2191,77,-679
3699,0,232,-50,2071,54,-767
3701,0,-1271,-147,1722,197,-174
3703,0,257,-81,2235,163,-392
3705,0,58,-27,2132,174,-394
37
3709,0,232,-50,2071,54,-767
3711,0,-1271,-147,1722,197,-174
3713,0,257,-81,2235,163,-392
3715,0,58,-27,2132,174,-394
3717,0,103,-24,2191,77,-679
3719,0,232,-50,2071,54,-767
3721,0,-1271,-147,1722,197,-174
3723,0,257,-81,2235,163,-392
3725,0,58,-27,2132,174,-394
3727,0,103,-24,2191,77,-679
3729,0,232,-50,2071,54,-767
3731,0,-1271,-147,1722,197,-174
3733,0,257,-81,2235,163,-392
3735,0,58,-27,2132,174,-394
3737,0,103,-24,2191,77,-679
3739,0,232,-50,2071,54,-767
3741,0,-1271,-147,1722,197,-174
3743,0,257,-81,2235,163,-392
3745,0,58,-27,2132,174,-394
3747,0,103,-24,2191,77,-679
3749,0,232,-50,2071,54,-767
3751,0,-1271,-147,1722,197,-174
3753,0,257,-81,2235,163,-392
3755,0,58,-27,2132,174,-394
3757,0,103,-24,2191,77,-679
3759,0,232,-50,2071,54,-767
3761,0,-1271,-147,1722,197,-174
3763,0,257,-81,2235,163,-392
3765,0,58,-27,2132,174,-394
3767,0,103,-24,2191,77,-679
3769,0,232,-50,2071,54,-767
3771,0,-1271,-147,1722,197,-174
3773,0,257,-81,2235,163,-392
3775,0,58,-27,2132,174,-394
37
3779,0,232,-50,2071,54,-767
3781,0,-1271,-147,1722,197,-174
3783,0,257,-81,2235,163,-392
3785,0,58,-27,2132,174,-394
3787,0,103,-24,2191,77,-679
3789,0,232,-50,2071,54,-767
3791,0,-1271,-147,1722,197,-174
3793,0,257,-81,2235,163,-392
3795,0,58,-27,2132,174,-394
3797,0,103,-24,2191,77,-679
3799,0,232,-50,2071,54,-767
3801,0,-1271,-147,1722,197,-174
3803,0,257,-81,2235,163,-392
3805,0,58,-27,2132,174,-394
3807,0,103,-24,2191,77,-679
3809,0,232,-50,2071,54,-767
3811,0,-1271,-147,1722,197,-174
3813,0,257,-81,2235,163,-392
3815,0,58,-27,2132,174,-394
3817,0,103,-24,2191,77,-679
3819,0,232,-50,2071,54,-767
3821,0,-1271,-147,1722,197,-174
3823,0,257,-81,2235,163,-392
3825,0,58,-27,2132,174,-394
3827,0,103,-24,2191,77,-679
3829,0,232,-50,2071,54,-767
3831,0,-1271,-147,1722,197,-174
3833,0,257,-81,2235,163,-392
3835,0,58,-27,2132,174,-394
3837,0,103,-24,2191,77,-679
3839,0,232,-50,2071,54,-767
3841,0,-1271,-147,1722,197,-174
3843,0,257,-81,2235,163,-392
3845,0,58,-27,2132,174,-394
38
3849,0,232,-50,2071,54,-767
3851,0,-1271,-147,1722,197,-174
3853,0,257,-81,2235,163,-392
3855,0,58,-27,2132,174,-394
3857,0,103,-24,2191,77,-679
3859,0,232,-50,2071,54,-767
3861,0,-1271,-147,1722,197,-174
3863,0,257,-81,2235,163,-392
3865,0,58,-27,2132,174,-394
3867,0,103,-24,2191,77,-679
3869,0,232,-50,2071,54,-767
3871,0,-1271,-147,1722,197,-174
3873,0,257,-81,2235,163,-392
3875,0,58,-27,2132,174,-394
3877,0,103,-24,2191,77,-679
3879,0,232,-50,2071,54,-767
3881,0,-1271,-147,1722,197,-174
3883,0,257,-81,2235,163,-392
3885,0,58,-27,2132,174,-394
3887,0,103,-24,2191,77,-679
3889,0,232,-50,2071,54,-767
3891,0,-1271,-147,1722,197,-174
3893,0,257,-81,2235,163,-392
3895,0,58,-27,2132,174,-394
3897,0,103,-24,2191,77,-679
3899,0,232,-50,2071,54,-767
3901,0,-1271,-147,1722,197,-174
3903,0,257,-81,2235,163,-392
3905,0,58,-27,2132,174,-394
3907,0,103,-24,2191,77,-679
3909,0,232,-50,2071,54,-767
3911,0,-1271,-147,1722,197,-174
3913,0,257,-81,2235,163,-392
3915,0,58,-27,2132,174,-394
39
3919,0,232,-50,2071,54,-767
3921,0,-1271,-147,1722,197,-174
3923,0,257,-81,2235,163,-392
3925,0,58,-27,2132,174,-394
3927,0,103,-24,2191,77,-679
3929,0,232,-50,2071,54,-767
3931,0,-1271,-147,1722,197,-174
3933,0,257,-81,2235,163,-392
3935,0,58,-27,2132,174,-394
3937,0,103,-24,2191,77,-679
3939,0,232,-50,2071,54,-767
3941,0,-1271,-147,1722,197,-174
3943,0,257,-81,2235,163,-392
3945,0,58,-27,2132,174,-394
3947,0,103,-24,2191,77,-679
3949,0,232,-50,2071,54,-767
3951,0,-1271,-147,1722,197,-174
3953,0,257,-81,2235,163,-392
3955,0,58,-27,2132,174,-394
3957,0,103,-24,2191,77,-679
3959,0,232,-50,2071,54,-767
3961,0,-1271,-147,1722,197,-174
3963,0,257,-81,2235,163,-392
3965,0,58,-27,2132,174,-394
3967,0,103,-24,2191,77,-679
3969,0,232,-50,2071,54,-767
3971,0,-1271,-147,1722,197,-174
3973,0,257,-81,2235,163,-392
3975,0,58,-27,2132,174,-394
3977,0,103,-24,2191,77,-679
3979,0,232,-50,2071,54,-767
3981,0,-1271,-147,1722,197,-174
3983,0,257,-81,2235,163,-392
3985,0,58,-27,2132,174,-394
39
3989,0,232,-50,2071,54,-767
3991,0,-1271,-147,1722,197,-174
3993,0,257,-81,2235,163,-392
3995,0,58,-27,2132,174,-394
3997,0,103,-24,2191,77,-679
3999,0,232,-50,2071,54,-767
4001,0,-1271,-147,1722,197,-174
4003,0,257,-81,2235,163,-392
4005,0,58,-27,2132,174,-394
4007,0,103,-24,2191,77,-679
4009,0,232,-50,2071,54,-767
4011,0,-1271,-147,1722,197,-174
4013,0,257,-81,2235,163,-392
4015,0,58,-27,2132,174,-394
4017,0,103,-24,2191,77,-679
4019,0,232,-50,2071,54,-767
4021,0,-1271,-147,1722,197,-174
4023,0,257,-81,2235,163,-392
4025,0,58,-27,2132,174,-394
4027,0,103,-24,2191,77,-679
4029,0,232,-50,2071,54,-767
4031,0,-1271,-147,1722,197,-174
4033,0,257,-81,2235,163,-392
4035,0,58,-27,2132,174,-394
4037,0,103,-24,2191,77,-679
4039,0,232,-50,2071,54,-767
4041,0,-1271,-147,1722,197,-174
4043,0,257,-81,2235,163,-392
4045,0,58,-27,2132,174,-394
4047,0,103,-24,2191,77,-679
4049,0,232,-50,2071,54,-767
4051,0,-1271,-147,1722,197,-174
4053,0,257,-81,2235,163,-392
4055,0,58,-27,2132,174,-394
40
4059,0,232,-50,2071,54,-767
4061,0,-1271,-147,1722,197,-174
4063,0,257,-81,2235,163,-392
4065,0,58,-27,2132,174,-394
4067,0,103,-24,2191,77,-679
4069,0,232,-50,2071,54,-767
4071,0,-1271,-147,1722,197,-174
4073,0,257,-81,2235,163,-392
4075,0,58,-27,2132,174,-394
4077,0,103,-24,2191,77,-679
4079,0,232,-50,2071,54,-767
4081,0,-1271,-147,1722,197,-174
4083,0,257,-81,2235,163,-392
4085,0,58,-27,2132,174,-394
4087,0,103,-24,2191,77,-679
4089,0,232,-50,2071,54,-767
4091,0,-1271,-147,1722,197,-174
4093,0,257,-81,2235,163,-392
4095,0,58,-27,2132,174,-394
4097,0,103,-24,2191,77,-679
4099,0,232,-50,2071,54,-767
4101,0,-1271,-147,1722,197,-174
4103,0,257,-81,2235,163,-392
4105,0,58,-27,2132,174,-394
4107,0,103,-24,2191,77,-679
4109,0,232,-50,2071,54,-767
4111,0,-1271,-147,1722,197,-174
4113,0,257,-81,2235,163,-392
4115,0,58,-27,2132,174,-394
4117,0,103,-24,2191,77,-679
4119,0,232,-50,2071,54,-767
4121,0,-1271,-147,1722,197,-174
4123,0,257,-81,2235,163,-392
4125,0,58,-27,2132,174,-394
41
4129,0,232,-50,2071,54,-767
4131,0,-1271,-147,1722,197,-174
4133,0,257,-81,2235,163,-392
4135,0,58,-27,2132,174,-394
4137,0,103,-24,2191,77,-679
4139,0,232,-50,2071,54,-767
4141,0,-1271,-147,1722,197,-174
4143,0,257,-81,2235,163,-392
4145,0,58,-27,2132,174,-394
4147,0,103,-24,2191,77,-679
4149,0,232,-50,2071,54,-767
4151,0,-1271,-147,1722,197,-174
4153,0,257,-81,2235,163,-392
4155,0,58,-27,2132,174,-394
4157,0,103,-24,2191,77,-679
4159,0,232,-50,2071,54,-767
4161,0,-1271,-147,1722,197,-174
4163,0,257,-81,2235,163,-392
4165,0,58,-27,2132,174,-394
4167,0,103,-24,2191,77,-679
4169,0,232,-50,2071,54,-767
4171,0,-1271,-147,1722,197,-174
4173,0,257,-81,2235,163,-392
4175,0,58,-27,2132,174,-394
4177,0,103,-24,2191,77,-679
4179,0,232,-50,2071,54,-767
4181,0,-1271,-147,1722,197,-174
4183,0,257,-81,2235,163,-392
4185,0,58,-27,2132,174,-394
4187,0,103,-24,2191,77,-679
4189,0,232,-50,2071,54,-767
4191,0,-1271,-147,1722,197,-174
4193,0,257,-81,2235,163,-392
4195,0,58,-27,2132,174,-394
41
4199,0,232,-50,2071,54,-767
4201,0,-1271,-147,1722,197,-174
4203,0,257,-81,2235,163,-392
4205,0,58,-27,2132,174,-394
4207,0,103,-24,2191,77,-679
4209,0,232,-50,2071,54,-767
4211,0,-1271,-147,1722,197,-174
4213,0,257,-81,2235,163,-392
4215,0,58,-27,2132,174,-394
4217,0,103,-24,2191,77,-679
4219,0,232,-50,2071,54,-767
4221,0,-1271,-147,1722,197,-174
4223,0,257,-81,2235,163,-392
4225,0,58,-27,2132,174,-394
4227,0,103,-24,2191,77,-679
4229,0,232,-50,2071,54,-767
4231,0,-1271,-147,1722,197,-174
4233,0,257,-81,2235,163,-392
4235,0,58,-27,2132,174,-394
4237,0,103,-24,2191,77,-679
4239,0,232,-50,2071,54,-767
4241,0,-1271,-147,1722,197,-174
4243,0,257,-81,2235,163,-392
4245,0,58,-27,2132,174,-394
4247,0,103,-24,2191,77,-679
4249,0,232,-50,2071,54,-767
4251,0,-1271,-147,1722,197,-174
4253,0,257,-81,2235,163,-392
4255,0,58,-27,2132,174,-394
4257,0,103,-24,2191,77,-679
4259,0,232,-50,2071,54,-767
4261,0,-1271,-147,1722,197,-174
4263,0,257,-81,2235,163,-392
4265,0,58,-27,2132,174,-394
42
4269,0,232,-50,2071,54,-767
4271,0,-1271,-147,1722,197,-174
4273,0,257,-81,2235,163,-392
4275,0,58,-27,2132,174,-394
4277,0,103,-24,2191,77,-679
4279,0,232,-50,2071,54,-767
4281,0,-1271,-147,1722,197,-174
4283,0,257,-81,2235,163,-392
4285,0,58,-27,2132,174,-394
4287,0,103,-24,2191,77,-679
4289,0,232,-50,2071,54,-767
4291,0,-1271,-147,1722,197,-174
4293,0,257,-81,2235,163,-392
4295,0,58,-27,2132,174,-394
4297,0,103,-24,2191,77,-679
4299,0,232,-50,2071,54,-767
4301,0,-1271,-147,1722,197,-174
4303,0,257,-81,2235,163,-392
4305,0,58,-27,2132,174,-394
4307,0,103,-24,2191,77,-679
4309,0,232,-50,2071,54,-767
4311,0,-1271,-147,1722,197,-174
4313,0,257,-81,2235,163,-392
4315,0,58,-27,2132,174,-394
4317,0,103,-24,2191,77,-679
4319,0,232,-50,2071,54,-767
4321,0,-1271,-147,1722,197,-174
4323,0,257,-81,2235,163,-392
4325,0,58,-27,2132,174,-394
4327,0,103,-24,2191,77,-679
4329,0,232,-50,2071,54,-767
4331,0,-1271,-147,1722,197,-174
4333,0,257,-81,2235,163,-392
4335,0,58,-27,2132,174,-394
43
4339,0,232,-50,2071,54,-767
4341,0,-1271,-147,1722,197,-174
4343,0,257,-81,2235,163,-392
4345,0,58,-27,2132,174,-394
4347,0,103,-24,2191,77,-679
4349,0,232,-50,2071,54,-767
4351,0,-1271,-147,1722,197,-174
4353,0,257,-81,2235,163,-392
4355,0,58,-27,2132,174,-394
4357,0,103,-24,2191,77,-679
4359,0,232,-50,2071,54,-767
4361,0,-1271,-147,1722,197,-174
4363,0,257,-81,2235,163,-392
4365,0,58,-27,2132,174,-394
4367,0,103,-24,2191,77,-679
4369,0,232,-50,2071,54,-767
4371,0,-1271,-147,1722,197,-174
4373,0,257,-81,2235,163,-392
4375,0,58,-27,2132,174,-394
4377,0,103,-24,2191,77,-679
4379,0,232,-50,2071,54,-767
4381,0,-1271,-147,1722,197,-174
4383,0,257,-81,2235,163,-392
4385,0,58,-27,2132,174,-394
4387,0,103,-24,2191,77,-679
4389,0,232,-50,2071,54,-767
4391,0,-1271,-147,1722,197,-174
4393,0,257,-81,2235,163,-392
4395,0,58,-27,2132,174,-394
4397,0,103,-24,2191,77,-679
4399,0,232,-50,2071,54,-767
4401,0,-1271,-147,1722,197,-174
4403,0,257,-81,2235,163,-392
4405,0,58,-27,2132,174,-394
44
4409,0,232,-50,2071,54,-767
4411,0,-1271,-147,1722,197,-174
4413,0,257,-81,2235,163,-392
4415,0,58,-27,2132,174,-394
4417,0,103,-24,2191,77,-679
4419,0,232,-50,2071,54,-767
4421,0,-1271,-147,1722,197,-174
4423,0,257,-81,2235,163,-392
4425,0,58,-27,2132,174,-394
4427,0,103,-24,2191,77,-679
4429,0,232,-50,2071,54,-767
4431,0,-1271,-147,1722,197,-174
4433,0,257,-81,2235,163,-392
4435,0,58,-27,2132,174,-394
4437,0,103,-24,2191,77,-679
4439,0,232,-50,2071,54,-767
4441,0,-1271,-147,1722,197,-174
4443,0,257,-81,2235,163,-392
4445,0,58,-27,2132,174,-394
4447,0,103,-24,2191,77,-679
4449,0,232,-50,2071,54,-767
4451,0,-1271,-147,1722,197,-174
4453,0,257,-81,2235,163,-392
4455,0,58,-27,2132,174,-394
4457,0,103,-24,2191,77,-679
4459,0,232,-50,2071,54,-767
4461,0,-1271,-147,1722,197,-174
4463,0,257,-81,2235,163,-392
4465,0,58,-27,2132,174,-394
4467,0,103,-24,2191,77,-679
4469,0,232,-50,2071,54,-767
4471,0,-1271,-147,1722,197,-174
4473,0,257,-81,2235,163,-392
4475,0,58,-27,2132,174,-394
44
4479,0,232,-50,2071,54,-767
4481,0,-1271,-147,1722,197,-174
4483,0,257,-81,2235,163,-392
4485,0,58,-27,2132,174,-394
4487,0,103,-24,2191,77,-679
4489,0,232,-50,2071,54,-767
4491,0,-1271,-147,1722,197,-174
4493,0,257,-81,2235,163,-392
4495,0,58,-27,2132,174,-394
4497,0,103,-24,2191,77,-679
4499,0,232,-50,2071,54,-767
4501,0,-1271,-147,1722,197,-174
4503,0,257,-81,2235,163,-392
4505,0,58,-27,2132,174,-394
4507,0,103,-24,2191,77,-679
4509,0,232,-50,2071,54,-767
4511,0,-1271,-147,1722,197,-174
4513,0,257,-81,2235,163,-392
4515,0,58,-27,2132,174,-394
4517,0,103,-24,2191,77,-679
4519,0,232,-50,2071,54,-767
4521,0,-1271,-147,1722,197,-174
4523,0,257,-81,2235,163,-392
4525,0,58,-27,2132,174,-394
4527,0,103,-24,2191,77,-679
4529,0,232,-50,2071,54,-767
4531,0,-1271,-147,1722,197,-174
4533,0,257,-81,2235,163,-392
4535,0,58,-27,2132,174,-394
4537,0,103,-24,2191,77,-679
4539,0,232,-50,2071,54,-767
4541,0,-1271,-147,1722,197,-174
4543,0,257,-81,2235,163,-392
4545,0,58,-27,2132,174,-394
45
4549,0,232,-50,2071,54,-767
4551,0,-1271,-147,1722,197,-174
4553,0,257,-81,2235,163,-392
4555,0,58,-27,2132,174,-394
4557,0,103,-24,2191,77,-679
4559,0,232,-50,2071,54,-767
4561,0,-1271,-147,1722,197,-174
4563,0,257,-81,2235,163,-392
4565,0,58,-27,2132,174,-394
4567,0,103,-24,2191,77,-679
4569,0,232,-50,2071,54,-767
4571,0,-1271,-147,1722,197,-174
4573,0,257,-81,2235,163,-392
4575,0,58,-27,2132,174,-394
4577,0,103,-24,2191,77,-679
4579,0,232,-50,2071,54,-767
4581,0,-1271,-147,1722,197,-174
4583,0,257,-81,2235,163,-392
4585,0,58,-27,2132,174,-394
4587,0,103,-24,2191,77,-679
4589,0,232,-50,2071,54,-767
4591,0,-1271,-147,1722,197,-174
4593,0,257,-81,2235,163,-392
4595,0,58,-27,2132,174,-394
4597,0,103,-24,2191,77,-679
4599,0,232,-50,2071,54,-767
4601,0,-1271,-147,1722,197,-174
4603,0,257,-81,2235,163,-392
4605,0,58,-27,2132,174,-394
4607,0,103,-24,2191,77,-679
4609,0,232,-50,2071,54,-767
4611,0,-1271,-147,1722,197,-174
4613,0,257,-81,2235,163,-392
4615,0,58,-27,2132,174,-394
46
4619,0,232,-50,2071,54,-767
4621,0,-1271,-147,1722,197,-174
4623,0,257,-81,2235,163,-392
4625,0,58,-27,2132,174,-394
4627,0,103,-24,2191,77,-679
4629,0,232,-50,2071,54,-767
4631,0,-1271,-147,1722,197,-174
4633,0,257,-81,2235,163,-392
4635,0,58,-27,2132,174,-394
4637,0,103,-24,2191,77,-679
4639,0,232,-50,2071,54,-767
4641,0,-1271,-147,1722,197,-174
4643,0,257,-81,2235,163,-392
4645,0,58,-27,2132,174,-394
4647,0,103,-24,2191,77,-679
4649,0,232,-50,2071,54,-767
4651,0,-1271,-147,1722,197,-174
4653,0,257,-81,2235,163,-392
4655,0,58,-27,2132,174,-394
4657,0,103,-24,2191,77,-679
4659,0,232,-50,2071,54,-767
4661,0,-1271,-147,1722,197,-174
4663,0,257,-81,2235,163,-392
4665,0,58,-27,2132,174,-394
4667,0,103,-24,2191,77,-679
4669,0,232,-50,2071,54,-767
4671,0,-1271,-147,1722,197,-174
4673,0,257,-81,2235,163,-392
4675,0,58,-27,2132,174,-394
4677,0,103,-24,2191,77,-679
4679,0,232,-50,2071,54,-767
4681,0,-1271,-147,1722,197,-174
4683,0,257,-81,2235,163,-392
4685,0,58,-27,2132,174,-394
46
4689,0,232,-50,2071,54,-767
4691,0,-1271,-147,1722,197,-174
4693,0,257,-81,2235,163,-392
4695,0,58,-27,2132,174,-394
4697,0,103,-24,2191,77,-679
4699,0,232,-50,2071,54,-767
4701,0,-1271,-147,1722,197,-174
4703,0,257,-81,2235,163,-392
4705,0,58,-27,2132,174,-394
4707,0,103,-24,2191,77,-679
4709,0,232,-50,2071,54,-767
4711,0,-1271,-147,1722,197,-174
4713,0,257,-81,2235,163,-392
4715,0,58,-27,2132,174,-394
4717,0,103,-24,2191,77,-679
4719,0,232,-50,2071,54,-767
4721,0,-1271,-147,1722,197,-174
4723,0,257,-81,2235,163,-392
